,Retweets,Favorites,Followers,ScreenName,Text
12819,17839,109452,41312318,akshaykumar,"At the risk of sounding repetitive, sharing my thoughts...there is a lockdown for a reason. Please don’t be selfish and venture out, you’re putting others lives at risk 🙏🏻
#StayAtHomeSaveLives. @mybmc https://t.co/G0Nms9hYoP"
9565,8169,34223,36948665,espn,"Former Titans DB Myron Rolle left the NFL to attend medical school back in 2013.

Now, Rolle is a neurosurgery resident who is seeing the impact COVID-19 is having on the healthcare industry. https://t.co/hGj9B8mJva"
5373,32166,157620,30975842,HillaryClinton,"He did promise ""America First."" https://t.co/bzks3hqCUE"
2771,39855,222651,29987649,JoeBiden,Let me be clear: No one should have to pay for coronavirus testing or treatment.
2130,9992,35268,29987648,JoeBiden,It's hard to read this story and not conclude one thing: The Trump Administration failed the American people. https://t.co/I3LOMEvLMf
2087,34551,162111,29987648,JoeBiden,"The coronavirus is not Donald Trump's fault, but his inept response is.

He ignored the warnings for months, downplayed the threat it posed, and failed to take the action needed to combat the outbreak.

It's one of the greatest failures of presidential leadership in our history."
1668,4140,17953,29987646,JoeBiden,"The folks working to keep our country running are true heroes — and we need to ensure they have the protections, accommodations, and benefits they need and deserve. We couldn't get through this without them. https://t.co/eErp14BkuK"
235,4077,18704,29987643,JoeBiden,Instacart needs to step up and give their workers the protections and pay they need and deserve. Now. https://t.co/dYkoW0H227
10208,4697,20322,29987625,JoeBiden,"Losing a loved one is incredibly difficult, but it’s even harder when you’re not able to be with them in their final moments — and that’s what’s happening around the country because of the coronavirus. It’s heartbreaking, and I’m keeping everyone affected in my prayers. https://t.co/vAISTRxi5O"
9670,24207,72122,29987625,JoeBiden,Let me be clear: Donald Trump knew about the threat the coronavirus posed and failed to act. It’s one of the most unjustifiable failures of presidential leadership in American history. https://t.co/l8BdATZsaL
6064,6853,24205,29987610,JoeBiden,"The Administration promised millions of tests by mid-March. But it's not happening fast enough. Where are the tests, Mr. President? https://t.co/pI8WBL7oE7"
