,Retweets,Favorites,Followers,ScreenName,Text
8412,25413,183213,130286559,BarackObama,"Even as we’ve battled the pandemic, we’ve continued to neglect the longer-lasting epidemic of gun violence in America. Although the shooter’s motive is not yet clear, the identity of the victims underscores an alarming rise in anti-Asian violence that must end."
10126,160,575,53666849,CNN,"Covid-19 probably came to people through an animal and likely started spreading no more than a month or two before it was noticed in December 2019, a World Health Organization draft report finds https://t.co/dKFqLzQJIv"
10136,366,2323,53666849,CNN,President Joe Biden says 90% of adults will be eligible to get a coronavirus vaccine within the next three weeks as well as have a vaccination site within five miles of where they live https://t.co/5X8uNq8wyK
10183,195,1089,53666844,CNN,"JUST IN: President Biden will announce that 90% of adults will be eligible to get a coronavirus vaccine within the next three weeks, an administration official says. https://t.co/lTpa65CVFL"
8256,424,2342,53666843,CNN,"Louisiana Rep.-elect Julia Letlow urges Republicans to get vaccinated against the coronavirus, citing her tragic experience losing her husband to complications of Covid-19 https://t.co/2lQYD6JjVY"
6981,260,868,53666840,CNN,"Under real world conditions and at full vaccination, the Pfizer and Moderna Covid-19 vaccines are 90% effective at preventing infections,   including infections that have no symptoms, according to the US Centers for Disease Control and Prevention https://t.co/4rULBhmRWg"
6494,312,1326,53666838,CNN,"The Pfizer/BioNTech and Moderna Covid-19 vaccines work “incredibly effectively” in pregnant and new moms, research says. And they pass protection to their newborns. https://t.co/4xmBKoGmFZ"
9263,1609,6245,49900993,nytimes,"Breaking News: The Moderna and Pfizer vaccines are proving highly effective in preventing coronavirus infections under real-world conditions, the CDC found. https://t.co/dVAmNMKBvL"
9776,1504,4100,49900993,nytimes,"Breaking News: Hundreds of thousands of Americans likely died needlessly from Covid-19, Dr. Deborah Birx, a Trump administration official, suggested in a CNN report. https://t.co/1nd9UiXGOr"
7706,1160,5173,49900993,nytimes,"Breaking News: New York must immediately begin to offer Covid vaccines to all incarcerated people in the state’s prisons and jails, a judge ruled on Monday, saying that they had been arbitrarily excluded in the vaccine rollout. https://t.co/HmpGw7bzYU"
